iter	Passed	Remaining
650	5708	11829
651	5716	11819
652	5725	11810
653	5733	11800
654	5741	11790
655	5749	11778
656	5756	11766
657	5765	11758
658	5773	11747
659	5781	11737
660	5789	11728
661	5798	11718
662	5805	11707
663	5813	11696
664	5821	11686
665	5829	11675
666	5837	11665
667	5846	11657
668	5854	11647
669	5862	11638
670	5872	11630
671	5879	11619
672	5888	11610
673	5896	11599
674	5904	11590
675	5912	11580
676	5920	11569
677	5927	11557
678	5936	11549
679	5941	11533
680	5949	11523
681	5957	11512
682	5965	11503
683	5972	11490
684	5980	11481
685	5988	11471
686	5996	11459
687	6004	11450
688	6012	11439
689	6020	11429
690	6028	11419
691	6036	11410
692	6045	11402
693	6054	11393
694	6062	11383
695	6070	11374
696	6079	11364
697	6086	11353
698	6093	11341
699	6102	11333
700	6111	11324
701	6120	11316
702	6128	11306
703	6136	11296
704	6144	11286
705	6153	11278
706	6162	11270
707	6169	11259
708	6178	11249
709	6186	11240
710	6195	11231
711	6204	11223
712	6212	11213
713	6221	11205
714	6230	11196
715	6239	11188
716	6247	11179
717	6255	11169
718	6264	11161
719	6272	11151
720	6281	11142
721	6289	11133
722	6298	11124
723	6308	11117
724	6316	11107
725	6324	11098
726	6333	11089
727	6341	11080
728	6349	11070
729	6357	11060
730	6364	11048
731	6371	11037
732	6380	11028
733	6389	11020
734	6397	11010
735	6405	11001
736	6414	10993
737	6423	10984
738	6433	10977
739	6442	10970
740	6451	10961
741	6460	10953
742	6470	10945
743	6478	10936
744	6485	10925
745	6492	10914
746	6501	10904
747	6508	10894
748	6513	10878
749	6522	10870
750	6530	10860
751	6539	10852
752	6546	10841
753	6553	10829
754	6561	10819
755	6569	10810
756	6577	10800
757	6586	10791
758	6595	10783
759	6602	10773
760	6610	10762
761	6616	10750
762	6625	10742
763	6634	10732
764	6643	10724
765	6652	10716
766	6659	10704
767	6667	10695
768	6676	10687
769	6684	10678
770	6693	10670
771	6702	10661
772	6710	10651
773	6718	10641
774	6726	10632
775	6733	10621
776	6742	10612
777	6751	10604
778	6759	10595
779	6765	10582
780	6774	10573
781	6783	10565
782	6790	10553
783	6797	10543
784	6804	10531
785	6813	10522
786	6821	10514
787	6830	10506
788	6839	10497
789	6848	10489
790	6858	10482
791	6866	10472
792	6874	10463
793	6884	10456
794	6895	10451
795	6905	10445
796	6914	10436
797	6921	10425
798	6929	10415
799	6937	10406
800	6944	10395
801	6953	10386
802	6961	10376
803	6968	10366
804	6977	10357
805	6986	10349
806	6995	10341
807	7003	10332
808	7011	10322
809	7019	10312
810	7027	10303
811	7036	10294
812	7044	10285
813	7053	10277
814	7060	10265
815	7068	10256
816	7076	10247
817	7085	10238
818	7094	10229
819	7102	10220
820	7110	10211
821	7118	10201
822	7125	10190
823	7131	10178
824	7138	10167
825	7145	10155
826	7153	10146
827	7162	10138
828	7170	10129
829	7179	10120
830	7188	10112
831	7196	10102
832	7204	10093
833	7213	10085
834	7222	10076
835	7231	10068
836	7240	10060
837	7250	10053
838	7259	10045
839	7270	10039
